#SRC:M87,DATE(MJD):57854,FREQ:227.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.53472224,AA,PV,-4395897344.0000,-4509549056.0000,0.15549293,176.6557,0.00384135
00.53749998,AA,PV,-4396411392.0000,-4510217216.0000,0.16664173,176.7511,0.00388827
00.54027776,AA,PV,-4396951040.0000,-4510922752.0000,0.15441983,178.5934,0.00391624
00.54305555,AA,PV,-4397482496.0000,-4511619584.0000,0.15938054,177.3197,0.00411633
00.54583333,AA,PV,-4397980160.0000,-4512275456.0000,0.15217197,176.9510,0.00410247
00.54861112,AA,PV,-4398508544.0000,-4512975360.0000,0.16176135,177.3417,0.00422172
00.55138890,AA,PV,-4399032320.0000,-4513671680.0000,0.15904778,178.0447,0.00408469
00.55416664,AA,PV,-4399535104.0000,-4514343936.0000,0.15160471,179.0300,0.00467036
00.55694443,AA,PV,-4400059904.0000,-4515048960.0000,0.16153769,176.7198,0.00409393
00.55972221,AA,PV,-4400560128.0000,-4515723264.0000,0.14894870,177.8553,0.00500370
00.56250000,AA,PV,-4401064960.0000,-4516407808.0000,0.15528482,177.0508,0.00421303
00.56527779,AA,PV,-4401570816.0000,-4517096448.0000,0.16622851,177.6567,0.00501222
00.56805557,AA,PV,-4402085888.0000,-4517800960.0000,0.15469979,177.5298,0.00409065
00.57083336,AA,PV,-4402575360.0000,-4518474240.0000,0.17296315,179.0438,0.00451742
00.57361110,AA,PV,-4403100672.0000,-4519199744.0000,0.15423026,176.8146,0.00451209
00.57638888,AA,PV,-4403589632.0000,-4519879168.0000,0.15856397,177.9471,0.00462637
00.57916667,AA,PV,-4404069376.0000,-4520547840.0000,0.15763532,177.8539,0.00436051
00.58194445,AA,PV,-4404551168.0000,-4521223680.0000,0.19176034,174.0406,0.00591017
00.58472224,AA,PV,-4405059072.0000,-4521938944.0000,0.22652860,178.7284,0.00617669
00.58750002,AA,PV,-4405542912.0000,-4522623488.0000,0.14394026,176.7986,0.00393116
00.59027776,AA,PV,-4406035456.0000,-4523324416.0000,0.16065334,179.0696,0.00391850
00.59305555,AA,PV,-4406515712.0000,-4524010496.0000,0.14978505,178.6019,0.00401680
00.59583333,AA,PV,-4406992384.0000,-4524695552.0000,0.15262131,177.5615,0.00383566
00.59861112,AA,PV,-4407470080.0000,-4525385216.0000,0.15627843,178.8573,0.00372507
00.60138890,AA,PV,-4407945728.0000,-4526075904.0000,0.14896751,176.9339,0.00382990
00.60416669,AA,PV,-4408427520.0000,-4526778368.0000,0.16032242,178.7605,0.00379150
00.60694443,AA,PV,-4408886784.0000,-4527452160.0000,0.15574051,178.5427,0.00379145
00.60972221,AA,PV,-4409374720.0000,-4528171008.0000,0.15157068,176.0622,0.00397148
00.61250000,AA,PV,-4409820672.0000,-4528832000.0000,0.16582858,179.7626,0.00434810
00.61527778,AA,PV,-4410283008.0000,-4529520128.0000,0.15502092,176.6029,0.00402306
00.61805557,AA,PV,-4410747392.0000,-4530214400.0000,0.15575697,177.9034,0.00383844
00.62083335,AA,PV,-4411200512.0000,-4530895872.0000,0.14402765,177.1347,0.00413067
00.62361109,AA,PV,-4411669504.0000,-4531605504.0000,0.15510480,179.1562,0.00386694
00.62638888,AA,PV,-4412121088.0000,-4532291584.0000,0.15377128,177.7949,0.00399499
00.62916666,AA,PV,-4412563968.0000,-4532968960.0000,0.15926632,179.4635,0.00389424
00.63194445,AA,PV,-4413006848.0000,-4533649408.0000,0.15595475,178.4083,0.00413354
00.68472223,AA,PV,-4421105664.0000,-4546788352.0000,0.15288800,-173.9646,0.00348128
00.68472223,AA,AP,805263.3750,-1692975.3750,1.21032094,-40.7774,0.00395426
00.68472223,AP,PV,-4421920256.0000,-4545111552.0000,0.15816707,-153.0618,0.03025321
00.68750001,AA,PV,-4421523456.0000,-4547507200.0000,0.15666952,-175.7176,0.00395673
00.68750001,AA,AP,805043.1250,-1692852.0000,1.21065495,-40.7048,0.00394548
00.68750001,AP,PV,-4422322688.0000,-4545803776.0000,0.15741135,-128.3621,0.02825950
00.69027780,AA,AP,804872.8125,-1692756.6250,1.21042155,-40.5685,0.00625536
00.69027780,AA,PV,-4421914624.0000,-4548183552.0000,0.15781345,-175.9119,0.00384699
00.69027780,AP,PV,-4422602752.0000,-4546287616.0000,0.16867631,-145.8670,0.04269648
00.69305554,AA,PV,-4422324736.0000,-4548897280.0000,0.16217358,-176.5222,0.00398348
00.69583333,AA,PV,-4422701568.0000,-4549556224.0000,0.16485942,-174.8218,0.00398259
00.69861111,AA,PV,-4423100416.0000,-4550258688.0000,0.15457306,-177.8156,0.00367129
00.70138890,AA,PV,-4423489536.0000,-4550948352.0000,0.14367868,-174.6346,0.00385132
00.70416668,AA,PV,-4423883264.0000,-4551649792.0000,0.15708706,-175.8891,0.00402685
00.70694447,AA,PV,-4424258048.0000,-4552321536.0000,0.14966959,-175.0595,0.00385127
00.70972221,AA,PV,-4424643072.0000,-4553016320.0000,0.15889490,-177.9268,0.00371062
00.71249999,AA,PV,-4425035264.0000,-4553728512.0000,0.15588164,-176.6841,0.00374163
00.71527778,AA,PV,-4425388032.0000,-4554373120.0000,0.15180802,-177.8084,0.00391891
00.71805556,AA,PV,-4425781248.0000,-4555096064.0000,0.16379511,-175.0259,0.00380444
00.72083335,AA,PV,-4426157056.0000,-4555790848.0000,0.14113432,-178.8949,0.00390915
00.72361113,AA,PV,-4426533376.0000,-4556492288.0000,0.15183805,-175.5764,0.00375282
00.72638887,AA,PV,-4426904576.0000,-4557188096.0000,0.14365916,-176.6013,0.00401615
00.72916666,AA,PV,-4427277312.0000,-4557891072.0000,0.15314066,-174.9620,0.00378124
00.73194444,AA,PV,-4427633664.0000,-4558568448.0000,0.15423408,-178.9814,0.00377041
00.73472223,AA,PV,-4427989504.0000,-4559248384.0000,0.15327954,-176.5083,0.00427119
00.73750001,AA,PV,-4428362752.0000,-4559966208.0000,0.14312396,-178.3731,0.00408573
00.74027780,AA,PV,-4428711424.0000,-4560641536.0000,0.15068554,-176.9013,0.00377987
00.74305554,AA,PV,-4429071360.0000,-4561344000.0000,0.16040524,-176.3094,0.00378033
00.74583332,AA,PV,-4429427712.0000,-4562043392.0000,0.14886153,-177.0875,0.00371294
00.74861111,AA,PV,-4429777408.0000,-4562734592.0000,0.14950902,-176.1548,0.00366284
00.75138885,AA,PV,-4430116352.0000,-4563408896.0000,0.16345939,-176.5755,0.00365774
00.75416663,AA,PV,-4430463488.0000,-4564104192.0000,0.13150546,-179.0938,0.00383415
00.75694442,AA,PV,-4430816768.0000,-4564817408.0000,0.14838662,-176.0768,0.00384311
00.75972220,AA,PV,-4431148544.0000,-4565490688.0000,0.13182098,-177.8846,0.00379335
00.76249999,AA,PV,-4431484928.0000,-4566178816.0000,0.15528046,-176.8847,0.00378148
00.76527777,AA,PV,-4431831040.0000,-4566892032.0000,0.14699923,-176.5850,0.00372025
00.76805556,AA,PV,-4432170496.0000,-4567596544.0000,0.13574177,-177.5362,0.00357132
00.77083334,AA,PV,-4432489472.0000,-4568263680.0000,0.15387734,-176.8505,0.00357866
